     Height km, Electron_density
  287.00,  0.45213E+12
  288.00,  0.45121E+12
  289.00,  0.45024E+12
  290.00,  0.44922E+12
  291.00,  0.44815E+12
  292.00,  0.44702E+12
  293.00,  0.44585E+12
  294.00,  0.44463E+12
  295.00,  0.44336E+12
  296.00,  0.44205E+12
  297.00,  0.44069E+12
  298.00,  0.43929E+12
  299.00,  0.43785E+12
  300.00,  0.43637E+12
