     Height km, Electron_density
  272.00 , 0.28375E+12
  273.00 , 0.28975E+12
  274.00 , 0.29573E+12
  275.00 , 0.30169E+12
  276.00 , 0.30760E+12
  277.00 , 0.31347E+12
  278.00 , 0.31930E+12
  279.00 , 0.32506E+12
  280.00 , 0.33077E+12
  281.00 , 0.33640E+12
  282.00 , 0.34195E+12
  283.00 , 0.34742E+12
  284.00 , 0.35280E+12
  285.00 , 0.35808E+12
  286.00 , 0.36325E+12
  287.00 , 0.36832E+12
  288.00 , 0.37326E+12
  289.00 , 0.37808E+12
  290.00 , 0.38277E+12
  291.00 , 0.38731E+12
  292.00 , 0.39172E+12
  293.00 , 0.39598E+12
  294.00 , 0.40008E+12
  295.00 , 0.40402E+12
  296.00 , 0.40780E+12
  297.00 , 0.41141E+12
  298.00 , 0.41484E+12
  299.00 , 0.41809E+12
  300.00 , 0.42116E+12
