Height km, Electron_density
   60.00 ,-0.10000E+01
   61.00 ,-0.10000E+01
   62.00 ,-0.10000E+01
   63.00 ,-0.10000E+01
   64.00 ,-0.10000E+01
   65.00 ,-0.10000E+01
   66.00 ,-0.10000E+01
   67.00 ,-0.10000E+01
   68.00 ,-0.10000E+01
   69.00 ,-0.10000E+01
   70.00 ,-0.10000E+01
   71.00 ,-0.10000E+01
   72.00 ,-0.10000E+01
   73.00 ,-0.10000E+01
   74.00 ,-0.10000E+01
   75.00 ,-0.10000E+01
   76.00 ,-0.10000E+01
   77.00 ,-0.10000E+01
   78.00 ,-0.10000E+01
   79.00 ,-0.10000E+01
   80.00 , 0.28950E+09
   81.00 , 0.32470E+09
   82.00 , 0.35277E+09
   83.00 , 0.37447E+09
   84.00 , 0.39172E+09
   85.00 , 0.40761E+09
   86.00 , 0.43475E+09
   87.00 , 0.50088E+09
   88.00 , 0.65759E+09
   89.00 , 0.10379E+10
   90.00 , 0.12633E+10
   91.00 , 0.14455E+10
   92.00 , 0.16122E+10
   93.00 , 0.17594E+10
   94.00 , 0.18853E+10
   95.00 , 0.19895E+10
   96.00 , 0.20732E+10
   97.00 , 0.21385E+10
   98.00 , 0.21878E+10
   99.00 , 0.22238E+10
  100.00 , 0.22492E+10
  101.00 , 0.22664E+10
  102.00 , 0.22775E+10
  103.00 , 0.22843E+10
  104.00 , 0.22882E+10
  105.00 , 0.22901E+10
  106.00 , 0.22910E+10
  107.00 , 0.22914E+10
  108.00 , 0.22915E+10
  109.00 , 0.22915E+10
  110.00 , 0.22915E+10
  111.00 , 0.22780E+10
  112.00 , 0.22402E+10
  113.00 , 0.21824E+10
  114.00 , 0.21089E+10
  115.00 , 0.20239E+10
  116.00 , 0.19318E+10
  117.00 , 0.18366E+10
  118.00 , 0.17424E+10
  119.00 , 0.16529E+10
  120.00 , 0.15717E+10
  121.00 , 0.15018E+10
  122.00 , 0.14462E+10
  123.00 , 0.14070E+10
  124.00 , 0.13862E+10
  125.00 , 0.13851E+10
  126.00 , 0.14041E+10
  127.00 , 0.14435E+10
  128.00 , 0.15023E+10
  129.00 , 0.15790E+10
  130.00 , 0.16713E+10
  131.00 , 0.17758E+10
  132.00 , 0.18884E+10
  133.00 , 0.20036E+10
  134.00 , 0.21152E+10
  135.00 , 0.22157E+10
  136.00 , 0.22948E+10
  137.00 , 0.23416E+10
  138.00 , 0.23896E+10
  139.00 , 0.24389E+10
  140.00 , 0.24895E+10
  141.00 , 0.25414E+10
  142.00 , 0.25948E+10
  143.00 , 0.26495E+10
  144.00 , 0.27058E+10
  145.00 , 0.27636E+10
  146.00 , 0.28231E+10
  147.00 , 0.28841E+10
  148.00 , 0.29470E+10
  149.00 , 0.30116E+10
  150.00 , 0.30781E+10
  151.00 , 0.31466E+10
  152.00 , 0.32170E+10
  153.00 , 0.32896E+10
  154.00 , 0.33644E+10
  155.00 , 0.34414E+10
  156.00 , 0.35208E+10
  157.00 , 0.36027E+10
  158.00 , 0.36872E+10
  159.00 , 0.37744E+10
  160.00 , 0.38644E+10
  161.00 , 0.39574E+10
  162.00 , 0.40535E+10
  163.00 , 0.41528E+10
  164.00 , 0.42555E+10
  165.00 , 0.43618E+10
  166.00 , 0.44719E+10
  167.00 , 0.45858E+10
  168.00 , 0.47040E+10
  169.00 , 0.48265E+10
  170.00 , 0.49536E+10
  171.00 , 0.50856E+10
  172.00 , 0.52227E+10
  173.00 , 0.53653E+10
  174.00 , 0.55137E+10
  175.00 , 0.56682E+10
  176.00 , 0.58293E+10
  177.00 , 0.59973E+10
  178.00 , 0.61728E+10
  179.00 , 0.63562E+10
  180.00 , 0.65482E+10
  181.00 , 0.67493E+10
  182.00 , 0.69604E+10
  183.00 , 0.71821E+10
  184.00 , 0.74154E+10
  185.00 , 0.76613E+10
  186.00 , 0.79209E+10
  187.00 , 0.81955E+10
  188.00 , 0.84867E+10
  189.00 , 0.87962E+10
  190.00 , 0.91260E+10
  191.00 , 0.94786E+10
  192.00 , 0.98568E+10
  193.00 , 0.10264E+11
  194.00 , 0.10705E+11
  195.00 , 0.11184E+11
  196.00 , 0.11709E+11
  197.00 , 0.12289E+11
  198.00 , 0.12935E+11
  199.00 , 0.13665E+11
  200.00 , 0.14477E+11
  201.00 , 0.15332E+11
  202.00 , 0.16229E+11
  203.00 , 0.17170E+11
  204.00 , 0.18156E+11
  205.00 , 0.19189E+11
  206.00 , 0.20271E+11
