Height km, Electron_density
   60.00, -0.10000E+01
   61.00, -0.10000E+01
   62.00, -0.10000E+01
   63.00, -0.10000E+01
   64.00, -0.10000E+01
   65.00, -0.10000E+01
   66.00, -0.10000E+01
   67.00, -0.10000E+01
   68.00, -0.10000E+01
   69.00, -0.10000E+01
   70.00, -0.10000E+01
   71.00, -0.10000E+01
   72.00, -0.10000E+01
   73.00, -0.10000E+01
   74.00, -0.10000E+01
   75.00, -0.10000E+01
   76.00, -0.10000E+01
   77.00, -0.10000E+01
   78.00, -0.10000E+01
   79.00, -0.10000E+01
   80.00,  0.19325E+09
   81.00,  0.24712E+09
   82.00,  0.29540E+09
   83.00,  0.33474E+09
   84.00,  0.36464E+09
   85.00,  0.38723E+09
   86.00,  0.40663E+09
   87.00,  0.43445E+09
   88.00,  0.49661E+09
   89.00,  0.63974E+09
   90.00,  0.97838E+09
   91.00,  0.11806E+10
   92.00,  0.12843E+10
   93.00,  0.13739E+10
   94.00,  0.14491E+10
   95.00,  0.15105E+10
   96.00,  0.15594E+10
   97.00,  0.15971E+10
   98.00,  0.16254E+10
   99.00,  0.16460E+10
  100.00,  0.16605E+10
  101.00,  0.16703E+10
  102.00,  0.16766E+10
  103.00,  0.16805E+10
  104.00,  0.16827E+10
  105.00,  0.16838E+10
  106.00,  0.16843E+10
  107.00,  0.16845E+10
  108.00,  0.16845E+10
  109.00,  0.16845E+10
  110.00,  0.16845E+10
  111.00,  0.16707E+10
  112.00,  0.16332E+10
  113.00,  0.15780E+10
  114.00,  0.15107E+10
  115.00,  0.14364E+10
  116.00,  0.13592E+10
  117.00,  0.12823E+10
  118.00,  0.12083E+10
  119.00,  0.11388E+10
  120.00,  0.10749E+10
  121.00,  0.10172E+10
  122.00,  0.96596E+09
  123.00,  0.92126E+09
  124.00,  0.88296E+09
  125.00,  0.85085E+09
  126.00,  0.82465E+09
  127.00,  0.80408E+09
  128.00,  0.78886E+09
  129.00,  0.77871E+09
  130.00,  0.77339E+09
  131.00,  0.77270E+09
  132.00,  0.77644E+09
  133.00,  0.78446E+09
  134.00,  0.79661E+09
  135.00,  0.81276E+09
  136.00,  0.83279E+09
  137.00,  0.85659E+09
  138.00,  0.88402E+09
  139.00,  0.91496E+09
  140.00,  0.94924E+09
  141.00,  0.98669E+09
  142.00,  0.10271E+10
  143.00,  0.10703E+10
  144.00,  0.11160E+10
  145.00,  0.11641E+10
  146.00,  0.12142E+10
  147.00,  0.12663E+10
  148.00,  0.13201E+10
  149.00,  0.13757E+10
  150.00,  0.14331E+10
  151.00,  0.14925E+10
  152.00,  0.15545E+10
  153.00,  0.16196E+10
  154.00,  0.16873E+10
  155.00,  0.17336E+10
  156.00,  0.17814E+10
  157.00,  0.18309E+10
  158.00,  0.18820E+10
  159.00,  0.19350E+10
  160.00,  0.19898E+10
  161.00,  0.20466E+10
  162.00,  0.21055E+10
  163.00,  0.21665E+10
  164.00,  0.22299E+10
  165.00,  0.22956E+10
  166.00,  0.23638E+10
  167.00,  0.24348E+10
  168.00,  0.25085E+10
  169.00,  0.25853E+10
  170.00,  0.26652E+10
  171.00,  0.27485E+10
  172.00,  0.28354E+10
  173.00,  0.29261E+10
  174.00,  0.30209E+10
  175.00,  0.31201E+10
  176.00,  0.32240E+10
  177.00,  0.33329E+10
  178.00,  0.34473E+10
  179.00,  0.35677E+10
  180.00,  0.36944E+10
  181.00,  0.38282E+10
  182.00,  0.39697E+10
  183.00,  0.41197E+10
  184.00,  0.42791E+10
  185.00,  0.44490E+10
  186.00,  0.46307E+10
  187.00,  0.48258E+10
  188.00,  0.50363E+10
  189.00,  0.52646E+10
  190.00,  0.55140E+10
  191.00,  0.57887E+10
  192.00,  0.60945E+10
  193.00,  0.64400E+10
  194.00,  0.68385E+10
  195.00,  0.73127E+10
  196.00,  0.78601E+10
  197.00,  0.84334E+10
  198.00,  0.90316E+10
  199.00,  0.96544E+10
  200.00,  0.10302E+11
  201.00,  0.10972E+11
  202.00,  0.11667E+11
  203.00,  0.12383E+11
  204.00,  0.13122E+11
  205.00,  0.13881E+11
  206.00,  0.14660E+11
  207.00,  0.15457E+11
  208.00,  0.16273E+11
  209.00,  0.17104E+11
  210.00,  0.17951E+11
  211.00,  0.18811E+11
  212.00,  0.19683E+11
  213.00,  0.20565E+11
  214.00,  0.21456E+11
  215.00,  0.22355E+11
  216.00,  0.23259E+11
  217.00,  0.24167E+11
  218.00,  0.25078E+11
