Height km, Electron_density
  287.00,  0.11615E+11
  288.00,  0.11771E+11
  289.00,  0.11927E+11
  290.00,  0.12081E+11
  291.00,  0.12233E+11
  292.00,  0.12385E+11
  293.00,  0.12535E+11
  294.00,  0.12683E+11
  295.00,  0.12829E+11
  296.00,  0.12974E+11
  297.00,  0.13116E+11
  298.00,  0.13256E+11
  299.00,  0.13394E+11
  300.00,  0.13528E+11
