Height km, Electron_density
   60.00, -0.10000E+01
   61.00, -0.10000E+01
   62.00, -0.10000E+01
   63.00, -0.10000E+01
   64.00, -0.10000E+01
   65.00, -0.10000E+01
   66.00, -0.10000E+01
   67.00, -0.10000E+01
   68.00, -0.10000E+01
   69.00, -0.10000E+01
   70.00, -0.10000E+01
   71.00, -0.10000E+01
   72.00, -0.10000E+01
   73.00, -0.10000E+01
   74.00, -0.10000E+01
   75.00, -0.10000E+01
   76.00, -0.10000E+01
   77.00, -0.10000E+01
   78.00, -0.10000E+01
   79.00, -0.10000E+01
   80.00,  0.10263E+09
   81.00,  0.16222E+09
   82.00,  0.22658E+09
   83.00,  0.28598E+09
   84.00,  0.33352E+09
   85.00,  0.36751E+09
   86.00,  0.39123E+09
   87.00,  0.41181E+09
   88.00,  0.44545E+09
   89.00,  0.52134E+09
   90.00,  0.69540E+09
   91.00,  0.10925E+10
   92.00,  0.12105E+10
   93.00,  0.13141E+10
   94.00,  0.14023E+10
   95.00,  0.14750E+10
   96.00,  0.15333E+10
   97.00,  0.15786E+10
   98.00,  0.16128E+10
   99.00,  0.16378E+10
  100.00,  0.16553E+10
  101.00,  0.16672E+10
  102.00,  0.16749E+10
  103.00,  0.16796E+10
  104.00,  0.16823E+10
  105.00,  0.16836E+10
  106.00,  0.16842E+10
  107.00,  0.16845E+10
  108.00,  0.16845E+10
  109.00,  0.16845E+10
  110.00,  0.16845E+10
  111.00,  0.16706E+10
  112.00,  0.16323E+10
  113.00,  0.15753E+10
  114.00,  0.15053E+10
  115.00,  0.14272E+10
  116.00,  0.13452E+10
  117.00,  0.12627E+10
  118.00,  0.11824E+10
  119.00,  0.11061E+10
  120.00,  0.10350E+10
  121.00,  0.96987E+09
  122.00,  0.91101E+09
  123.00,  0.85854E+09
  124.00,  0.81232E+09
  125.00,  0.77215E+09
  126.00,  0.73771E+09
  127.00,  0.70867E+09
  128.00,  0.68470E+09
  129.00,  0.66548E+09
  130.00,  0.65069E+09
  131.00,  0.64008E+09
  132.00,  0.63340E+09
  133.00,  0.63045E+09
  134.00,  0.63104E+09
  135.00,  0.63504E+09
  136.00,  0.64230E+09
  137.00,  0.65272E+09
  138.00,  0.66619E+09
  139.00,  0.68262E+09
  140.00,  0.70192E+09
  141.00,  0.72398E+09
  142.00,  0.74869E+09
  143.00,  0.77594E+09
  144.00,  0.80557E+09
  145.00,  0.83743E+09
  146.00,  0.87134E+09
  147.00,  0.90711E+09
  148.00,  0.94451E+09
  149.00,  0.98334E+09
  150.00,  0.10234E+10
  151.00,  0.10644E+10
  152.00,  0.11064E+10
  153.00,  0.11490E+10
  154.00,  0.11924E+10
  155.00,  0.12366E+10
  156.00,  0.12817E+10
  157.00,  0.13282E+10
  158.00,  0.13766E+10
  159.00,  0.14276E+10
  160.00,  0.14823E+10
  161.00,  0.15421E+10
  162.00,  0.16089E+10
  163.00,  0.16848E+10
  164.00,  0.17331E+10
  165.00,  0.17831E+10
  166.00,  0.18348E+10
  167.00,  0.18883E+10
  168.00,  0.19437E+10
  169.00,  0.20010E+10
  170.00,  0.20603E+10
  171.00,  0.21218E+10
  172.00,  0.21856E+10
  173.00,  0.22517E+10
  174.00,  0.23202E+10
  175.00,  0.23914E+10
  176.00,  0.24652E+10
  177.00,  0.25419E+10
  178.00,  0.26216E+10
  179.00,  0.27045E+10
  180.00,  0.27908E+10
  181.00,  0.28806E+10
  182.00,  0.29741E+10
  183.00,  0.30716E+10
  184.00,  0.31732E+10
  185.00,  0.32794E+10
  186.00,  0.33903E+10
  187.00,  0.35062E+10
  188.00,  0.36276E+10
  189.00,  0.37547E+10
  190.00,  0.38881E+10
  191.00,  0.40281E+10
  192.00,  0.41754E+10
  193.00,  0.43304E+10
  194.00,  0.44940E+10
  195.00,  0.46667E+10
  196.00,  0.48496E+10
  197.00,  0.50435E+10
  198.00,  0.52498E+10
  199.00,  0.54697E+10
  200.00,  0.57049E+10
  201.00,  0.59573E+10
  202.00,  0.62295E+10
  203.00,  0.65243E+10
  204.00,  0.68380E+10
  205.00,  0.71616E+10
  206.00,  0.74953E+10
  207.00,  0.78391E+10
  208.00,  0.81929E+10
  209.00,  0.85567E+10
  210.00,  0.89305E+10
  211.00,  0.93142E+10
  212.00,  0.97077E+10
  213.00,  0.10111E+11
  214.00,  0.10524E+11
  215.00,  0.10946E+11
  216.00,  0.11378E+11
  217.00,  0.11818E+11
  218.00,  0.12268E+11
